name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing
Ralph Richardson Memorial Studios ,Mountview Theatre School, 104 Crouch Hill,NA,Haringey,NA,1.00E+11,E09000014,Crouch End,E05000269,-0.123488188,51.57658777,529906.4268,188187.9816
Redbridge Drama Centre,Churchfields, South Woodford,NA,Redbridge,http://www.redbridgedramacentre.co.uk/,1.00E+11,E09000026,Churchfields,E05011238,0.025399644,51.5987895,540151.7867,190931.4148
Regents Park Open Air Theatre,Inner Cir,NA,NA,City of Westminster,https://openairtheatre.com/,10091898189,E09000033,Regent's Park,E05000643,-0.156039804,51.52880735,527785.4126,182818.336
Rich Mix,35-47 Bethnal Green Rd, London,NA,Tower Hamlets,https://www.richmix.org.uk/,6192962,E09000030,Weavers,E05009335,-0.075412607,51.52474282,533388.4921,182510.4602
Richmond Theatre,Little Green, Richmond,NA,Richmond upon Thames,http://www.atgtickets.com/venues/richmond-theatre/,10002264543,E09000027,South Richmond,E05000528,-0.305388877,51.46257947,517598.9476,175204.3743
Riverside Studios,101 Queen Caroline Street, Hammersmith,NA,Hammersmith and Fulham,http://www.riversidestudios.co.uk/,34153945,E09000013,North End,E05000258,-0.208193931,51.48990812,524274.5461,178403.5802
Rose Lipman Building,43 De Beauvoir Rd,NA,NA,Hackney,http://www.themillcoproject.co.uk/spaces/the-rose-lipman-building/,10008241945,E09000012,De Beauvoir,E05009371,-0.083199392,51.5394745,532805.5555,184134.1357
Rose Theatre,24-26 High St, Kingston upon Thames,NA,Richmond upon Thames,https://www.rosetheatrekingston.org/,128029778,E09000027,Hampton Wick,E05000522,-0.309291192,51.40877768,517465.9575,169216.4947
Rose Theatre,Lamorbey House, Burnt Oak Lane,NA,Bexley,https://www.bruford.ac.uk/,10011845091,E09000004,Blackfen & Lamorbey,E05011220,0.104842345,51.43979204,546160.8162,173410.3254
Rosemary Branch Theatre,2 Shepperton Rd,NA,NA,Islington,http://www.rosemarybranchtheatre.co.uk/,5300082551,E09000019,Canonbury,E05000369,-0.088545651,51.53813039,532438.8037,183975.0092
Roundhouse,Chalk Farm Rd, Camden Town,NA,Camden,http://www.roundhouse.org.uk/,5109516,E09000007,Camden Town with Primrose Hill,E05000130,-0.15289144,51.54354905,527962.3672,184462.8447
